"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"temperature","Temperature (C)","simple","Fixed effects only","A","Balled-and-burlapped",1.0001001088695
"temperature","Temperature (C)","simple","Fixed effects only","B","Bareroot",1.00016482519572
"temperature","Temperature (C)","simple","Fixed effects only","C","Seedling",1.00016910813079
"temperature","Temperature (C)","simple","Fixed effects only","D","Acorn",1.0001512036259
"temperature","Temperature (C)","simple","Fixed effects only","E","Seedbank",1.00011538909569
"temperature","Temperature (C)","simple","Fixed effects only","R","Reference",1.00019844424849
"temperature","Temperature (C)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00085845159584
"temperature","Temperature (C)","strip.random","Strip random effects","B","Bareroot",1.0005038692363
"temperature","Temperature (C)","strip.random","Strip random effects","C","Seedling",1.00106876480963
"temperature","Temperature (C)","strip.random","Strip random effects","D","Acorn",1.00058750710938
"temperature","Temperature (C)","strip.random","Strip random effects","E","Seedbank",1.00078251270914
"temperature","Temperature (C)","strip.random","Strip random effects","R","Reference",1.00063515799686
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","A","Balled-and-burlapped",1.00057993663433
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","B","Bareroot",1.0004509717142
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","C","Seedling",1.00029708549422
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","D","Acorn",1.00044491764338
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","E","Seedbank",1.00051601447069
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","R","Reference",1.00069115938222
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","A","Balled-and-burlapped",1.00003936082768
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","B","Bareroot",1.00013330274779
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","C","Seedling",1.00011299408621
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","D","Acorn",1.00012625915066
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","E","Seedbank",1.00001400202447
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","R","Reference",1.00009538439204
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00144150189066
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","B","Bareroot",1.00161481683575
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","C","Seedling",1.00133903134052
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","D","Acorn",1.00160916499872
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","E","Seedbank",1.00209537399165
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","R","Reference",1.00161678897668
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","A","Balled-and-burlapped",1.00275433842037
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","B","Bareroot",1.00175711065817
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","C","Seedling",1.00250625499291
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","D","Acorn",1.00159548846462
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","E","Seedbank",1.00268001236129
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","R","Reference",1.00236878388667
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","A","Balled-and-burlapped",1.00032145418908
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","B","Bareroot",1.00016648178523
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","C","Seedling",1.00036112899714
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","D","Acorn",1.00032536350545
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","E","Seedbank",1.00026962717351
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","R","Reference",1.00011676715352
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00148648925088
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","B","Bareroot",1.00136444557259
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","C","Seedling",1.0014734426524
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","D","Acorn",1.00179377143337
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","E","Seedbank",1.00156795970408
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","R","Reference",1.00135632764417
